atmospheric_pressure,visible_cloud,wind_direction,wind_speed,sky_color,ocean_wave_speed,temperature,animal_activity,storm_coming
1006.5,Cirrus,East,78.8,Green,High,Stable,High,No
1013.5,Cumulonimbus,South,51.6,Orange,Medium,Decline,Medium,Yes
1013.2,Cirrus,South,69.7,Orange,High,Stable,High,Yes
1011.3,Cumulonimbus,,59.3,Orange,Low,Stable,Low,Yes
1013,Cumulonimbus,West,66.7,Orange,High,Decline,High,Yes
1011.5,Stratus,East,40.4,Orange,Low,Rise,Low,Yes
1014,Stratus,East,56.8,Blue,Low,Decline,Low,Yes
1013.5,Cirrus,West,63,Orange,High,Rise,High,Yes
1011.8,Cumulonimbus,East,68.8,Orange,High,Decline,Low,Yes
1005.4,Cirrus,South,48.1,Green,Medium,Rise,High,No
1006.5,Cirrus,East,46.2,Green,Low,Decline,Low,No
1003.4,Cirrus,East,76.1,Gray,Low,Rise,Low,No
1006,Cirrus,East,43,,Medium,Decline,Low,Yes
1011.8,Cumulonimbus,South,67.2,Blue,Medium,Stable,High,Yes
1013.4,Cirrus,South,73.2,Orange,High,Stable,High,Yes
1022.6,Stratus,West,78,Green,High,Decline,Medium,No
1011,Cumulonimbus,East,70.9,Orange,High,Rise,High,Yes
1004.1,Cirrus,,80.4,Green,High,Stable,High,No
1002.1,Cumulonimbus,East,68.3,Orange,Low,,Medium,Yes
1013.7,Cumulonimbus,West,41.1,Orange,High,Stable,Medium,Yes
1012.3,Stratus,East,67.3,Blue,High,Stable,High,Yes
1004.5,Cirrus,West,41.9,Green,Medium,Rise,Low,No
1011.1,Cirrus,East,62.3,Orange,Low,Decline,Low,Yes
1003.1,Cirrus,East,82,Gray,Medium,Rise,Low,No
1004.7,Cirrus,East,45.9,Green,Low,Decline,Low,No
1011.4,Cumulonimbus,South,61.3,Blue,High,Stable,High,Yes
1011.1,Stratus,West,54.1,Orange,Low,Decline,Low,Yes
1011.1,Cumulonimbus,,64,Orange,Low,Decline,Low,Yes
1013.4,Cumulonimbus,East,40.6,Blue,Low,Decline,Low,Yes
1011.2,Cumulonimbus,South,62.4,Orange,Low,Stable,High,Yes
1005.6,Stratus,South,50.5,Orange,High,Stable,Medium,Yes
1003.4,Cumulonimbus,,82.6,Green,High,Stable,High,No
1011.8,Cirrus,South,41.3,Orange,Medium,Rise,High,Yes
1011,Cumulonimbus,East,63.2,Orange,Low,Decline,Low,Yes
1002.1,Cumulonimbus,,82.3,Gray,Low,Decline,Low,No
1005.9,Cumulonimbus,West,84.9,Gray,Low,Stable,High,No
1011.6,Cumulonimbus,East,50.3,Orange,High,Stable,Low,Yes
1002.9,Cirrus,West,43.1,Orange,High,Stable,High,Yes
1002.3,Cumulonimbus,South,73.1,Blue,High,Decline,Medium,Yes
1011.1,Cumulonimbus,South,57.1,,Low,Stable,Medium,Yes
1003.8,Cirrus,South,82.3,Green,High,,Medium,No
1012.6,Cumulonimbus,South,67.3,Orange,High,Stable,Low,Yes
1004.4,Cumulonimbus,East,82.5,Green,Low,Decline,Medium,No
1011.6,Cumulonimbus,East,61.4,Orange,Low,Decline,High,Yes
1006.2,Cirrus,West,79.6,Green,High,Stable,High,No
1012.5,Cumulonimbus,East,61.9,Blue,Low,Decline,Low,Yes
1013.9,Cirrus,South,52.9,Orange,High,Rise,High,Yes
1011.4,Cirrus,East,53.2,Orange,Low,Decline,Low,Yes
1011.1,Cumulonimbus,South,47.8,Orange,Medium,Decline,High,Yes
1002.1,Stratus,South,81.5,Green,High,Stable,Low,No
1024.2,Stratus,South,78.8,Green,High,Stable,High,No
1013.5,Cumulonimbus,East,66.9,Orange,Low,Rise,Low,Yes
1013.9,Cumulonimbus,East,64.4,Orange,High,Decline,Medium,Yes
1005.8,Cirrus,East,80.5,Green,Medium,Decline,High,No
1013,Cumulonimbus,East,71.4,Orange,Low,Decline,Medium,Yes
1011.3,Cumulonimbus,East,45,Orange,Low,Decline,High,Yes
1012,Cumulonimbus,East,71.9,Orange,Medium,Rise,High,Yes
1013.6,Stratus,East,57.2,Orange,Low,Decline,High,Yes
1011.2,Cumulonimbus,East,43.9,Orange,Low,Decline,High,Yes
